time,id,x,y,w,h
4404.00 ,4 ,364.48 ,270.41 ,26.20 ,69.39 
4437.00 ,1 ,294.13 ,342.95 ,29.77 ,76.65 
4437.00 ,3 ,428.92 ,319.90 ,32.31 ,52.73 
4437.00 ,4 ,364.95 ,272.13 ,26.69 ,69.10 
4470.00 ,1 ,294.18 ,343.20 ,29.71 ,76.51 
4470.00 ,3 ,430.52 ,324.59 ,33.06 ,59.55 
4470.00 ,4 ,365.38 ,273.11 ,27.61 ,69.19 
4504.00 ,1 ,294.08 ,343.19 ,29.93 ,76.18 
4504.00 ,3 ,430.95 ,330.56 ,34.81 ,69.94 
4504.00 ,4 ,365.46 ,276.13 ,27.93 ,72.68 
4537.00 ,1 ,294.02 ,343.06 ,30.35 ,75.05 
4537.00 ,3 ,433.46 ,333.58 ,34.33 ,73.62 
4537.00 ,4 ,365.59 ,279.06 ,28.35 ,73.67 
4570.00 ,1 ,294.02 ,342.98 ,30.47 ,74.42 
4570.00 ,3 ,436.01 ,335.10 ,32.07 ,74.79 
4570.00 ,4 ,365.66 ,281.62 ,28.91 ,76.02 
4604.00 ,1 ,294.15 ,342.77 ,30.64 ,73.73 
4604.00 ,3 ,437.40 ,335.71 ,32.09 ,74.18 
4604.00 ,4 ,365.65 ,284.02 ,28.94 ,77.38 
4637.00 ,1 ,294.14 ,342.83 ,30.61 ,73.34 
4637.00 ,3 ,439.70 ,336.96 ,32.73 ,75.06 
4637.00 ,4 ,366.46 ,286.66 ,30.89 ,78.19 
4670.00 ,1 ,294.15 ,343.16 ,30.74 ,74.15 
4670.00 ,3 ,441.20 ,329.54 ,33.21 ,57.05 
4670.00 ,4 ,366.06 ,286.67 ,30.00 ,76.13 
4704.00 ,1 ,294.15 ,343.41 ,30.57 ,75.12 
4704.00 ,3 ,442.33 ,327.82 ,31.06 ,52.12 
4704.00 ,4 ,366.03 ,289.97 ,30.12 ,79.50 
4737.00 ,1 ,294.09 ,343.66 ,30.42 ,74.88 
4737.00 ,3 ,444.28 ,328.39 ,31.39 ,52.50 
4737.00 ,4 ,366.00 ,292.08 ,30.42 ,80.58 
4771.00 ,1 ,294.08 ,343.75 ,30.39 ,74.50 
4771.00 ,3 ,445.12 ,329.25 ,28.39 ,51.84 
4771.00 ,4 ,365.46 ,293.22 ,30.19 ,80.73 
4804.00 ,1 ,294.10 ,343.72 ,30.41 ,74.44 
4804.00 ,3 ,446.60 ,328.95 ,30.37 ,51.64 
4804.00 ,4 ,365.13 ,293.77 ,29.79 ,79.64 
4837.00 ,1 ,294.15 ,344.28 ,30.42 ,75.61 
4837.00 ,3 ,448.53 ,329.85 ,30.19 ,50.52 
4837.00 ,4 ,365.05 ,294.74 ,29.64 ,79.11 
4871.00 ,1 ,294.09 ,344.34 ,30.32 ,75.51 
4871.00 ,3 ,449.50 ,329.63 ,29.23 ,47.12 
4871.00 ,4 ,363.47 ,294.65 ,27.31 ,77.51 
4904.00 ,1 ,294.05 ,345.50 ,30.43 ,77.50 
4904.00 ,3 ,450.18 ,332.90 ,28.53 ,50.55 
